GLCMcorrelation,GlobalEntropy,LBPentropy,EdgeDensity,EnergyRatio,SpectralVariance,Mean_RGB,Std_RGB,Skew_RGB,Label
0.7981969,6.697541,14.52062,0.2560587,0.7784202,1.150494,89.43207,30.46964,0.3347876,0
0.9730772,7.340367,9.061233,0.1731505,0.7529402,1.459924,101.2687,68.42714,-0.003605644,0
0.8897518,6.631588,12.61558,0.1954719,0.7601215,1.291032,36.46156,30.93689,1.506649,0
0.958197,6.811573,10.83745,0.1645408,0.7711652,1.595952,104.0959,46.44142,-0.7544675,0
0.9631597,6.97317,11.23906,0.1852679,0.7550837,1.504753,88.93625,47.42576,0.2760766,0
0.914285,7.584684,13.16188,0.2077695,0.7691653,1.241821,112.4208,48.74548,0.1278699,0
0.9306,6.670114,8.153537,0.2413903,0.768295,1.228603,51.18579,29.62617,0.0232571,0
0.9044713,7.353659,16.22051,0.1617741,0.7587242,1.356535,82.66825,46.05,0.2299994,0
0.9420327,6.813864,12.39785,0.1814413,0.7550786,1.47845,70.76662,38.18855,0.5713024,0
0.957989,7.189299,9.396585,0.1977041,0.7706321,1.233033,91.20078,42.93553,-0.1997809,0
0.9550602,7.223967,12.77701,0.1795281,0.7597705,1.549069,87.97172,46.9332,0.6548974,0
0.8744416,5.752641,11.61149,0.1554864,0.7621589,1.307202,67.82394,26.4536,2.24155,0
0.8715068,6.665534,11.18763,0.2302296,0.7777115,0.9952466,71.8224,32.68624,0.252814,0
0.9388224,7.333645,4.599133,0.2486065,0.7748194,1.049,66.99837,51.09188,0.9506232,0
0.9762276,7.171018,5.121861,0.1825802,0.7640229,1.271082,114.9269,44.43416,-0.8126691,0
0.9602312,7.118921,11.91505,0.2203444,0.7578482,1.385955,69.5436,51.78902,0.6153826,1
0.9481878,7.514701,11.7521,0.2059949,0.7698264,1.077197,90.41323,60.45113,0.3881053,1
0.9561676,7.35172,9.963916,0.1962617,0.7658884,1.51467,91.91339,58.33946,0.3555487,1
0.9332365,7.365867,11.29077,0.2101191,0.7627157,1.539629,116.101,65.51307,-0.2631017,1
0.9094607,7.653822,6.67786,0.2338205,0.779089,1.255595,103.6964,49.77786,0.1136419,1
0.9069355,7.381988,15.8253,0.182398,0.770751,1.119957,107.9179,42.71219,0.413731,1
0.8653354,7.484167,8.557974,0.2139668,0.7699007,1.258345,76.91685,54.51554,0.8142605,1
0.7954474,7.336384,11.7607,0.190051,0.7828841,0.9330122,75.48853,53.35639,0.7259514,1
0.9502659,7.578506,9.858721,0.198524,0.7563242,1.597203,132.9946,57.62697,-0.5471805,1
0.9596675,7.376034,12.1078,0.1808036,0.7566472,1.480938,89.37188,57.30457,0.3542725,1
0.8606636,5.969483,11.19397,0.170614,0.7635107,1.28921,25.47497,29.93223,3.625764,1
0.9581606,7.003866,12.38852,0.1983418,0.7573774,1.421601,106.1407,48.70181,-0.4829565,1
0.9492303,7.614069,9.592025,0.1836735,0.7714992,1.109891,119.459,53.68635,-0.03521009,1
0.9219437,7.054058,12.48117,0.2044005,0.7706812,1.213173,111.0116,47.32207,-0.2124325,1
0.9608954,7.591078,9.395854,0.2334184,0.7690378,1.428099,154.9061,56.59145,-0.6933333,1
0.9216648,7.500601,16.50283,0.2091837,0.7636063,1.23438,141.8027,51.91527,-0.1250484,1
0.9271846,6.768466,10.57797,0.2044005,0.7723851,1.256143,45.26997,52.06185,1.941915,1
0.9457654,7.001914,6.848349,0.2101403,0.7601482,1.249703,77.88576,47.38578,0.1355572,1
0.8854349,7.580053,15.81549,0.1875,0.7640533,1.269881,107.1018,48.48562,0.1449073,1
0.9314877,6.686199,10.11648,0.1827168,0.7615564,1.43153,55.10362,38.86715,2.087387,1
0.9515508,7.18666,12.70792,0.1875,0.7614259,1.458787,106.2904,42.99901,-0.3986315,1
0.9552597,7.44474,10.09666,0.2123725,0.7642102,1.418518,133.929,52.77864,-0.4833225,1
0.9008133,7.089256,9.691285,0.2146046,0.7661125,1.270989,57.26456,42.54399,1.33222,1
0.8893729,7.067709,8.319747,0.2091837,0.7739056,1.14706,101.3097,52.77244,-0.3691066,1
0.9189532,7.184605,11.52578,0.1929209,0.7718849,1.236955,95.75988,59.81786,-0.05643253,1
0.9150654,7.34307,6.989798,0.2241709,0.7711244,1.179622,69.62376,46.95135,0.6395966,1
0.939241,7.136193,13.11343,0.1992985,0.7574514,1.399129,76.16767,42.61856,0.5623469,1
0.9420288,6.80174,9.04575,0.1726672,0.7571447,1.3717,67.25249,36.18227,0.6413224,1
0.8899961,7.485293,11.33293,0.2085459,0.7716255,1.191884,79.27166,59.92873,0.4947072,1
0.9724579,7.272209,8.886559,0.1619898,0.7612816,1.508022,101.8971,76.32205,0.08105387,1
0.9127494,7.489152,11.73881,0.174426,0.7720586,1.26317,93.643,67.74066,0.4737274,1
